customer_id,full_name,nationality,region,customer_segment,risk_level,kyc_level,status,created_at
CUST000023,Hope Naddumba,Ugandan,Mbarara,retail,low,Tier2,dormant,2023-08-15
CUST000024,Zaina Nansubuga,Ugandan,Gulu,retail,high,Tier1,active,2024-06-24
CUST000025,Prisca Ainomugisha,Ugandan,Kiboga,retail,medium,Tier3,active,2024-03-13
CUST000026,Namyalo Ssempijja,Ugandan,Kabarole,retail,medium,Tier1,active,2025-12-13
CUST000027,Isabella Jones,Nigerian,Gulu,retail,low,Tier1,active,2025-07-08
CUST000028,Henry Walker,Congolese,Gulu,retail,medium,Tier1,active,2023-08-11
CUST000029,Peter Ssekandi,Ugandan,Gulu,retail,medium,Tier2,active,2023-05-16
CUST000030,Emmanuel Kibirige,Ugandan,Jinja,retail,medium,Tier3,active,2023-08-30
CUST000031,Nandutu Kisitu,Ugandan,Mukono,retail,medium,Tier2,active,2025-08-12
CUST000032,Daisy Nsubuga,Ugandan,Wakiso,retail,high,Tier2,dormant,2024-11-24
CUST000033,Dorothy Kasule,Ugandan,Kampala,retail,low,Tier2,active,2025-08-17
CUST000034,Caleb Lwanga,Ugandan,Wakiso,retail,medium,Tier2,active,2024-01-14
CUST000035,Diana Naggenda,Ugandan,Kakumiro,retail,low,Tier2,dormant,2024-04-24
CUST000036,Anena Ntambi,Ugandan,Kalungu,retail,medium,Tier2,active,2025-06-27
CUST000037,Valerie Bainomugisha,Ugandan,Wakiso,retail,high,Tier1,active,2025-11-06
CUST000038,Gift Namagombe,Ugandan,Wakiso,retail,high,Tier3,active,2024-03-12
CUST000039,Diana Ocaya,Ugandan,Kumi,retail,high,Tier3,active,2024-08-26
CUST000040,Robert Kamara,Ugandan,Kampala,retail,medium,Tier1,active,2025-02-23
CUST000041,Simon Kiyingi,Ugandan,Kamuli,retail,medium,Tier1,restricted,2024-12-23
CUST000042,Nakkazi Walakira,Ugandan,Iganga,retail,medium,Tier1,active,2025-04-23
CUST000043,Catherine Lwanga,Ugandan,Kamuli,retail,high,Tier3,dormant,2025-11-12
CUST000044,Nambooze Kisitu,Ugandan,Mpigi,retail,medium,Tier1,active,2024-07-26
CUST000045,Winnie Kisitu,Ugandan,Mukono,retail,high,Tier2,active,2025-12-14
CUST000046,Zaina Kabagenyi,Ugandan,Mukono,retail,medium,Tier2,dormant,2024-11-08
CUST000047,Mary Mukasa,Ugandan,Mukono,retail,high,Tier2,restricted,2024-12-01
CUST000048,Grace Abigaba,Ugandan,Masaka,retail,medium,Tier3,restricted,2024-02-01
CUST000049,Nakintu Natukunda,Ugandan,Gulu,retail,low,Tier2,dormant,2026-02-19
CUST000050,Precious Nabweteme,Ugandan,Kampala,retail,medium,Tier3,dormant,2024-03-25
CUST000051,Nabasirye Kiggundu,Ugandan,Gulu,retail,high,Tier3,active,2026-03-23
CUST000052,David Otim,Ugandan,Jinja,retail,low,Tier1,dormant,2024-12-18
CUST000053,Edwin Mugabi,Ugandan,Wakiso,retail,high,Tier2,restricted,2024-05-21
CUST000054,Caroline Byaruhanga,Ugandan,Bukomansimbi,retail,medium,Tier3,active,2024-12-19
CUST000055,Judith Nakafeero,Ugandan,Kampala,retail,high,Tier1,active,2024-03-04
CUST000056,Francis Nakaggwa,Ugandan,Hoima,retail,medium,Tier3,active,2024-03-13
CUST000057,Noah Olara,Ugandan,Jinja,retail,high,Tier1,active,2023-07-02
CUST000058,Brian Nakku,Ugandan,Fort Portal,retail,high,Tier2,active,2025-04-07
CUST000059,Namara Nakisige,Ugandan,Wakiso,retail,high,Tier3,active,2023-09-19
CUST000060,Nakato Namyalo,Ugandan,Kabarole,retail,high,Tier1,active,2024-12-09
CUST000061,Vincent Atim,Ugandan,Wakiso,retail,medium,Tier3,active,2023-05-01
CUST000062,Francis Kigozi,Ugandan,Mubende,retail,medium,Tier1,active,2025-07-29
CUST000063,Joshua Namutebi,Ugandan,Kampala,retail,medium,Tier2,active,2025-06-04
CUST000064,Timothy Tindyebwa,Ugandan,Mbarara,retail,low,Tier3,restricted,2025-10-06
CUST000065,Anena Kijjambu,Ugandan,Jinja,retail,high,Tier3,active,2024-11-23
CUST000066,Trevor Okot,Ugandan,Tororo,retail,medium,Tier2,dormant,2023-03-21
CUST000067,Ben Nambooze,Ugandan,Mukono,retail,medium,Tier3,active,2026-02-01
CUST000068,Mary Wandera,Ugandan,Kampala,retail,medium,Tier3,active,2026-03-24
CUST000069,Rose Namyalo,Ugandan,Wakiso,retail,low,Tier1,restricted,2025-03-07
CUST000070,Yusuf Thomas,South Sudanese,Mukono,retail,medium,Tier1,restricted,2023-11-13
CUST000071,Maria Mitala,Ugandan,Mbarara,retail,high,Tier1,restricted,2026-03-11
CUST000072,Hope Bamwine,Ugandan,Hoima,retail,medium,Tier1,restricted,2023-11-20
CUST000073,Charles Nakibuuka,Ugandan,Wakiso,retail,high,Tier3,dormant,2024-01-25
CUST000074,Nabulime Pereza,Ugandan,Tororo,retail,high,Tier3,active,2024-05-06
CUST000075,Joan Olara,Ugandan,Jinja,retail,medium,Tier2,dormant,2023-08-06
CUST000076,Walter Kafuko,Ugandan,Sembabule,retail,low,Tier2,dormant,2023-06-06
CUST000077,Kevin Ikojo,Ugandan,Mukono,retail,high,Tier1,dormant,2023-09-29
CUST000078,Zaituni Gitta,Ugandan,Wakiso,retail,low,Tier3,active,2023-04-07
CUST000079,Nambooze Magezi,Ugandan,Pallisa,retail,high,Tier1,active,2023-12-30
CUST000080,Vanessa Nakyanzi,Ugandan,Wakiso,retail,medium,Tier1,active,2023-06-10
CUST000081,Victor Kansiime,Ugandan,Wakiso,retail,medium,Tier3,restricted,2024-01-26
CUST000082,Sheila Atim,Ugandan,Arua,retail,medium,Tier3,active,2024-03-19
CUST000083,Fred Namaganda,Ugandan,Kyegegwa,retail,low,Tier2,active,2024-12-09
CUST000084,Namara Kahinda,Ugandan,Hoima,retail,high,Tier3,active,2023-09-20
CUST000085,Akena Akiiki,Ugandan,Kabarole,retail,high,Tier2,active,2025-07-01
CUST000086,Gift Bagiire,Ugandan,Jinja,retail,low,Tier2,active,2025-05-20
CUST000087,Joseph Sabiiti,Ugandan,Lira,retail,high,Tier2,active,2026-02-08
CUST000088,Ben Nakacwa,Ugandan,Kampala,retail,medium,Tier1,dormant,2023-04-02
CUST000089,Patrick Muzira,Ugandan,Arua,retail,high,Tier1,active,2024-09-15
CUST000090,Amelia Lewis,Congolese,Kampala,retail,medium,Tier3,dormant,2025-12-06
CUST000091,Oliver Kigozi,Ugandan,Butambala,retail,low,Tier3,active,2023-01-16
CUST000092,Nicholas Atim,Ugandan,Bukomansimbi,retail,high,Tier2,active,2024-02-03
CUST000093,Eunice Opio,Ugandan,Gulu,retail,low,Tier3,dormant,2023-12-03
CUST000094,Gertrude Luyiga,Ugandan,Kampala,retail,medium,Tier2,active,2025-08-29
CUST000095,Fred Matovu,Ugandan,Kampala,retail,low,Tier1,dormant,2026-01-27
CUST000096,Nambooze Mugisha,Ugandan,Fort Portal,retail,medium,Tier1,active,2024-08-27
CUST000097,Aisha Atwine,Ugandan,Kampala,retail,high,Tier1,restricted,2024-10-09
CUST000098,Norah Galiwango,Ugandan,Wakiso,retail,low,Tier1,active,2026-03-14
CUST000099,Hellen Kamara,Ugandan,Kampala,retail,medium,Tier2,active,2023-08-07
CUST000100,Victor Nakalema,Ugandan,Jinja,retail,high,Tier2,active,2026-01-06
CUST000101,Caleb Ainomugisha,Ugandan,Wakiso,retail,low,Tier2,active,2025-12-23
CUST000102,Annet Mayanja,Ugandan,Mukono,retail,low,Tier3,restricted,2024-11-16
CUST000103,Judith Kagimu,Ugandan,Kabarole,retail,low,Tier1,active,2025-01-21
CUST000104,Olivia Thomas,Tanzanian,Wakiso,retail,low,Tier2,active,2024-12-02
CUST000105,Nakimera Mitala,Ugandan,Mbale,retail,medium,Tier1,restricted,2023-05-05
CUST000106,Akena Lumala,Ugandan,Gulu,retail,medium,Tier3,active,2025-05-10
CUST000107,Lilian Nakitto,Ugandan,Kampala,retail,high,Tier2,restricted,2023-09-01
CUST000108,Akena Ddamulira,Ugandan,Arua,retail,high,Tier2,restricted,2023-12-21
CUST000109,Nakkazi Tabaaro,Ugandan,Mbarara,retail,medium,Tier1,active,2024-12-10
CUST000110,Annet Bategeka,Ugandan,Wakiso,retail,low,Tier3,active,2024-07-25
CUST000111,Simon Ssewava,Ugandan,Bukomansimbi,retail,high,Tier1,active,2025-12-01
CUST000112,Prisca Amony,Ugandan,Kampala,retail,low,Tier1,active,2023-06-27
CUST000113,Asiimwe Tumusiime,Ugandan,Gulu,retail,medium,Tier1,active,2025-09-11
CUST000114,Amina Mayanja,Ugandan,Mbarara,retail,high,Tier1,active,2023-07-07
CUST000115,Annet Katusiime,Ugandan,Wakiso,retail,medium,Tier2,active,2024-02-13
CUST000116,Gertrude Ssenoga,Ugandan,Jinja,retail,medium,Tier2,restricted,2023-10-08
CUST000117,Paul Olara,Ugandan,Wakiso,retail,high,Tier3,dormant,2023-03-23
CUST000118,Noah Martin,Burundian,Lira,retail,high,Tier3,active,2024-11-25
CUST000119,Ritah Nsubuga,Ugandan,Wakiso,retail,medium,Tier1,active,2025-09-18
CUST000120,Nakanwagi Malinga,Ugandan,Hoima,retail,low,Tier1,active,2025-04-03
CUST000121,Lilian Nakyanzi,Ugandan,Fort Portal,retail,low,Tier1,active,2025-08-23
CUST000122,Zaituni Wandera,Ugandan,Kyenjojo,retail,medium,Tier1,restricted,2024-04-11
CUST000123,Atim Komakech,Ugandan,Bundibugyo,retail,high,Tier1,restricted,2026-01-07
CUST000124,Nambi Namutebi,Ugandan,Jinja,retail,low,Tier2,restricted,2024-11-27
CUST000125,Nakanwagi Nakibuuka,Ugandan,Jinja,retail,medium,Tier1,restricted,2023-01-05
CUST000126,George Kabagenyi,Ugandan,Wakiso,retail,low,Tier3,restricted,2023-07-30
CUST000127,Namara Isabirye,Ugandan,Jinja,retail,medium,Tier1,restricted,2023-11-14
CUST000128,Norah Akena,Ugandan,Kyenjojo,retail,high,Tier3,active,2025-01-10
CUST000129,Vanessa Kamanzi,Ugandan,Wakiso,retail,high,Tier3,dormant,2024-07-16
CUST000130,Namirembe Oringa,Ugandan,Kampala,retail,high,Tier3,active,2025-10-23
CUST000131,Aisha Muwanga,Ugandan,Kampala,retail,medium,Tier3,restricted,2025-04-24
CUST000132,Winnie Nakacwa,Ugandan,Kakumiro,retail,low,Tier3,active,2022-12-23
CUST000133,Ben Kabuye,Ugandan,Tororo,retail,high,Tier1,active,2025-06-18
CUST000134,Namara Namirembe,Ugandan,Jinja,retail,low,Tier1,dormant,2024-01-21
CUST000135,Noah Okello,Ugandan,Masaka,retail,medium,Tier1,active,2023-08-20
CUST000136,Emmanuel Nalubega,Ugandan,Jinja,retail,medium,Tier1,restricted,2025-07-21
CUST000137,Lawrence Mugerwa,Ugandan,Kampala,retail,high,Tier2,dormant,2024-07-16
CUST000138,Stephen Namirembe,Ugandan,Sembabule,retail,high,Tier1,active,2024-12-16
CUST000139,Deborah Ninsiima,Ugandan,Mukono,retail,low,Tier2,dormant,2025-09-02
CUST000140,Lilian Ibanda,Ugandan,Mityana,retail,medium,Tier2,restricted,2024-09-01
CUST000141,Janet Ocaya,Ugandan,Mukono,retail,high,Tier3,active,2026-01-16
CUST000142,Fred Nakku,Ugandan,Tororo,retail,medium,Tier1,active,2026-01-29
CUST000143,George Nakabuye,Ugandan,Wakiso,retail,low,Tier2,restricted,2024-08-19
CUST000144,Nicholas Muwanga,Ugandan,Mukono,retail,low,Tier3,active,2024-01-31
CUST000145,Hellen Mugabi,Ugandan,Mbarara,retail,high,Tier2,dormant,2025-02-16
CUST000146,Namirembe Byarugaba,Ugandan,Lyantonde,retail,high,Tier3,active,2024-12-01
CUST000147,Evelyn Brown,Congolese,Mbarara,retail,high,Tier3,active,2023-04-18
CUST000148,Jacob Naggenda,Ugandan,Lwengo,retail,medium,Tier3,active,2025-08-22
CUST000149,Susan Wanyama,Ugandan,Kampala,retail,high,Tier1,active,2023-10-20
CUST000150,Peace Kafuko,Ugandan,Bundibugyo,retail,low,Tier3,dormant,2024-01-11
CUST000151,John Nassaka,Ugandan,Kasese,retail,low,Tier3,dormant,2023-02-19
CUST000152,Edith Luyiga,Ugandan,Kampala,retail,medium,Tier1,active,2024-01-15
CUST000153,Nancy Kagimu,Ugandan,Kabarole,retail,high,Tier3,active,2025-04-24
CUST000154,Joseph Nakibuuka,Ugandan,Wakiso,retail,high,Tier1,active,2025-10-16
CUST000155,Michael Nakayiza,Ugandan,Kampala,retail,medium,Tier2,dormant,2024-04-24
CUST000156,Akena Ssekandi,Ugandan,Kampala,retail,low,Tier1,dormant,2024-08-12
CUST000157,Olivia Muwonge,Ugandan,Mbarara,retail,low,Tier2,restricted,2025-03-07
CUST000158,Lucy Tibyangye,Ugandan,Wakiso,retail,medium,Tier3,restricted,2024-09-03
CUST000159,Deborah Galiwango,Ugandan,Arua,retail,medium,Tier3,active,2025-07-18
CUST000160,Nakanwagi Mulyagonja,Ugandan,Kasese,retail,high,Tier1,dormant,2026-02-09
CUST000161,Achan Nakku,Ugandan,Kampala,retail,low,Tier3,restricted,2025-09-21
CUST000162,Michael Adong,Ugandan,Masaka,retail,medium,Tier2,dormant,2024-09-17
CUST000163,Richard Sserugo,Ugandan,Wakiso,retail,low,Tier3,active,2023-09-19
CUST000164,Sheila Nsubuga,Ugandan,Wakiso,retail,low,Tier3,active,2024-08-06
CUST000165,Martin Kiconco,Ugandan,Jinja,retail,high,Tier1,restricted,2024-06-28
CUST000166,Racheal Lumala,Ugandan,Iganga,retail,high,Tier2,dormant,2024-09-30
CUST000167,Janet Nakafeero,Ugandan,Mbarara,retail,medium,Tier2,dormant,2026-01-20
CUST000168,Ivan Twinamatsiko,Ugandan,Kampala,retail,low,Tier2,dormant,2025-08-05
CUST000169,Abraham Atwine,Ugandan,Mbarara,retail,low,Tier1,active,2025-10-27
CUST000170,Nandutu Pereza,Ugandan,Wakiso,retail,medium,Tier3,restricted,2024-03-30
CUST000171,Saul Ssenfuma,Ugandan,Mubende,retail,high,Tier2,active,2023-03-12
CUST000172,Trevor Ainomugisha,Ugandan,Fort Portal,retail,medium,Tier2,restricted,2025-05-05
CUST000173,Fatima Martinez,Kenyan,Kumi,retail,medium,Tier2,restricted,2025-06-04
CUST000174,Jackline Olara,Ugandan,Mbale,retail,medium,Tier3,dormant,2026-01-21
CUST000175,Saul Kayemba,Ugandan,Mbale,retail,medium,Tier3,restricted,2025-07-08
CUST000176,Daisy Tindyebwa,Ugandan,Hoima,retail,high,Tier2,active,2025-06-22
CUST000177,Charles Kayondo,Ugandan,Mbale,retail,high,Tier2,active,2023-07-18
CUST000178,Vincent Ntale,Ugandan,Kampala,retail,high,Tier2,dormant,2024-08-29
CUST000179,Diana Tumuhimbise,Ugandan,Kalangala,retail,medium,Tier3,active,2024-07-20
CUST000180,Zaituni Walakira,Ugandan,Jinja,retail,high,Tier2,dormant,2023-03-19
CUST000181,Harriet Kayondo,Ugandan,Kampala,retail,high,Tier1,active,2023-07-30
CUST000182,Aisha Wasswa,Ugandan,Kampala,retail,low,Tier3,active,2024-08-12
CUST000183,Nabulime Ninsiima,Ugandan,Tororo,retail,high,Tier1,restricted,2025-04-28
CUST000184,Warren Ainomugisha,Ugandan,Kampala,retail,medium,Tier2,dormant,2023-10-20
CUST000185,Kevin Barasa,Ugandan,Kampala,retail,medium,Tier2,dormant,2023-02-13
CUST000186,Prisca Mayanja,Ugandan,Lyantonde,retail,medium,Tier1,active,2025-04-20
CUST000187,Olivia Ssekiziyivu,Ugandan,Kasese,retail,high,Tier3,restricted,2023-05-02
CUST000188,Ivan Pereza,Ugandan,Mbarara,retail,high,Tier1,active,2023-02-13
CUST000189,Emmanuel Bbaale,Ugandan,Mubende,retail,medium,Tier2,dormant,2026-01-20
CUST000190,Harper Young,Kenyan,Kamuli,retail,medium,Tier2,restricted,2025-06-18
CUST000191,David Tumusiime,Ugandan,Sembabule,retail,medium,Tier2,dormant,2022-12-24
CUST000192,Diana Ssenfuma,Ugandan,Soroti,retail,low,Tier1,active,2024-08-29
CUST000193,Akiiki Namirembe,Ugandan,Mukono,retail,high,Tier1,restricted,2024-11-30
CUST000194,Benjamin Baker,Tanzanian,Wakiso,retail,high,Tier2,dormant,2025-10-29
CUST000195,Irene Bamwine,Ugandan,Kampala,retail,high,Tier2,active,2023-04-20
CUST000196,Fred Abigaba,Ugandan,Kamuli,retail,low,Tier2,active,2026-01-21
CUST000197,Nakimera Nakiganda,Ugandan,Mukono,retail,low,Tier1,restricted,2023-10-16
CUST000198,Annet Lumala,Ugandan,Kampala,retail,medium,Tier3,active,2025-10-01
CUST000199,Janet Wanyama,Ugandan,Kampala,retail,high,Tier2,dormant,2025-11-10
CUST000200,Joshua Kafuko,Ugandan,Wakiso,retail,high,Tier2,active,2023-04-08
CUST000201,Namyalo Ssentongo,Ugandan,Wakiso,retail,high,Tier1,dormant,2023-04-13
CUST000202,Isaac Naggenda,Ugandan,Kampala,retail,high,Tier3,restricted,2024-10-24
CUST000203,Nambooze Sserugo,Ugandan,Wakiso,retail,low,Tier1,dormant,2025-11-10
CUST000204,Sheila Abigaba,Ugandan,Masaka,retail,low,Tier1,dormant,2024-10-03
CUST000205,Elizabeth Nakyanzi,Ugandan,Mukono,retail,low,Tier3,active,2024-12-19
CUST000206,Elijah Jones,Tanzanian,Kampala,retail,high,Tier2,active,2024-08-23
CUST000207,Nambi Kato,Ugandan,Kumi,retail,low,Tier2,active,2023-01-22
CUST000208,Amina Nalubega,Ugandan,Kampala,retail,medium,Tier2,active,2025-08-04
CUST000209,Grace Namagombe,Ugandan,Mukono,retail,medium,Tier1,active,2024-08-31
CUST000210,Eunice Kibirige,Ugandan,Kampala,retail,low,Tier1,active,2023-04-12
CUST000211,Ronald Amanya,Ugandan,Jinja,retail,high,Tier1,active,2023-02-21
CUST000212,Mildred Nakitto,Ugandan,Wakiso,retail,medium,Tier2,dormant,2025-08-28
CUST000213,Ivan Kamara,Ugandan,Butambala,retail,medium,Tier3,restricted,2025-01-10
CUST000214,Achan Kikomeko,Ugandan,Mityana,retail,medium,Tier2,restricted,2023-03-25
CUST000215,Nakimera Opio,Ugandan,Mbale,retail,high,Tier2,active,2023-10-23
CUST000216,Vanessa Nandutu,Ugandan,Sembabule,retail,medium,Tier3,restricted,2025-07-13
CUST000217,Nancy Kibirige,Ugandan,Wakiso,retail,high,Tier3,active,2023-05-25
CUST000218,Nakintu Mulyagonja,Ugandan,Kibale,retail,medium,Tier3,dormant,2023-12-01
CUST000219,Lilian Ocaya,Ugandan,Jinja,retail,medium,Tier2,active,2023-10-29
CUST000220,Nandutu Muwanga,Ugandan,Kampala,retail,low,Tier2,restricted,2026-02-27
CUST000221,David Kibirige,Ugandan,Arua,retail,medium,Tier3,dormant,2024-06-27
CUST000222,Juliet Ainomugisha,Ugandan,Kampala,retail,medium,Tier3,active,2024-09-05
CUST000223,Achan Mugerwa,Ugandan,Kampala,retail,high,Tier1,dormant,2023-03-30
CUST000224,Judy Ssekiziyivu,Ugandan,Iganga,retail,medium,Tier2,dormant,2023-05-04
CUST000225,Isabella Young,Indian,Bundibugyo,retail,medium,Tier1,restricted,2023-06-25
CUST000226,Lydia Ssenoga,Ugandan,Jinja,retail,low,Tier3,active,2026-01-07
CUST000227,Anena Nakimera,Ugandan,Fort Portal,retail,low,Tier1,dormant,2023-08-17
CUST000228,Hope Nafuna,Ugandan,Jinja,retail,medium,Tier1,active,2023-12-23
CUST000229,Sarah Davis,Kenyan,Jinja,retail,high,Tier3,active,2025-11-12
CUST000230,Precious Obua,Ugandan,Mukono,retail,low,Tier3,restricted,2025-01-10
CUST000231,Stephen Malinga,Ugandan,Masaka,retail,medium,Tier1,restricted,2025-08-26
CUST000232,Sarah Wright,Kenyan,Tororo,retail,high,Tier3,active,2024-05-22
CUST000233,Warren Balikuddembe,Ugandan,Mukono,retail,low,Tier2,active,2025-08-27
CUST000234,Namazzi Lumala,Ugandan,Mukono,retail,low,Tier3,restricted,2025-10-20
CUST000235,Akello Malinga,Ugandan,Hoima,retail,low,Tier3,active,2026-03-09
CUST000236,Yusuf Nelson,Congolese,Jinja,retail,medium,Tier3,dormant,2025-04-15
CUST000237,Diana Kalema,Ugandan,Wakiso,retail,medium,Tier1,restricted,2024-02-02
CUST000238,Daisy Nsereko,Ugandan,Kampala,retail,low,Tier1,active,2026-02-22
CUST000239,Amelia Miller,Congolese,Kampala,retail,low,Tier1,dormant,2025-06-02
CUST000240,Liam Hall,Kenyan,Wakiso,retail,medium,Tier2,dormant,2025-01-27
CUST000241,Nakintu Arinaitwe,Ugandan,Tororo,retail,low,Tier2,active,2024-12-18
CUST000242,Nambooze Kaboyo,Ugandan,Soroti,retail,low,Tier3,active,2024-12-26
CUST000243,Nambi Ssenoga,Ugandan,Tororo,retail,high,Tier1,active,2023-04-12
CUST000244,Joan Lwanga,Ugandan,Lwengo,retail,low,Tier1,active,2025-05-16
CUST000245,Doreen Bbaale,Ugandan,Jinja,retail,medium,Tier2,active,2024-12-27
CUST000246,Joy Ntale,Ugandan,Masaka,retail,medium,Tier2,active,2023-09-24
CUST000247,Charles Gitta,Ugandan,Jinja,retail,medium,Tier2,dormant,2024-01-04
CUST000248,Zaina Kazibwe,Ugandan,Gomba,retail,low,Tier1,active,2025-12-07
CUST000249,Caroline Kaboyo,Ugandan,Kumi,retail,low,Tier1,active,2023-11-07
CUST000250,George Ssenfuma,Ugandan,Jinja,retail,medium,Tier1,dormant,2023-01-02
CUST000251,Natukunda Tibyangye,Ugandan,Wakiso,retail,high,Tier2,active,2024-04-17
CUST000252,Emmanuel Byarugaba,Ugandan,Kiboga,retail,high,Tier3,active,2023-02-01
CUST000253,Richard Kisembo,Ugandan,Mbale,retail,high,Tier1,restricted,2024-12-19
CUST000254,Norah Olara,Ugandan,Mbarara,retail,low,Tier3,active,2024-11-11
CUST000255,Margaret Amanya,Ugandan,Kumi,retail,high,Tier1,restricted,2024-02-12
CUST000256,Faith Nakabuye,Ugandan,Iganga,retail,medium,Tier3,active,2024-01-13
CUST000257,Esther Isabirye,Ugandan,Kampala,retail,low,Tier3,restricted,2024-01-25
CUST000258,Violet Akello,Ugandan,Mukono,retail,medium,Tier2,active,2025-01-29
CUST000259,Yasin Adong,Ugandan,Mbarara,retail,high,Tier1,restricted,2023-01-18
CUST000260,Sylvia Kansiime,Ugandan,Sembabule,retail,high,Tier1,active,2025-02-20
CUST000261,Dorothy Byaruhanga,Ugandan,Kabarole,retail,low,Tier2,active,2024-12-07
CUST000262,Anena Mulindwa,Ugandan,Kumi,retail,high,Tier1,restricted,2024-12-08
CUST000263,Walter Kalyegira,Ugandan,Mukono,retail,medium,Tier1,restricted,2025-02-18
CUST000264,Rebecca Namirembe,Ugandan,Jinja,retail,medium,Tier2,active,2025-07-14
CUST000265,Richard Kikomeko,Ugandan,Kamuli,retail,high,Tier3,active,2025-07-04
CUST000266,Emmanuel Muhangi,Ugandan,Wakiso,retail,high,Tier3,active,2025-07-02
CUST000267,Peter Namyalo,Ugandan,Pallisa,retail,high,Tier1,dormant,2023-04-22
CUST000268,Isaac Ssewava,Ugandan,Hoima,retail,high,Tier1,active,2025-06-05
CUST000269,Asiimwe Oringa,Ugandan,Kasese,retail,low,Tier3,dormant,2025-04-28
CUST000270,Jacob Ainomugisha,Ugandan,Gulu,retail,high,Tier2,active,2025-01-27
CUST000271,Noah Mulindwa,Ugandan,Masaka,retail,low,Tier1,dormant,2024-05-17
CUST000272,Joshua Nakitto,Ugandan,Tororo,retail,low,Tier2,restricted,2025-02-21
CUST000273,Valerie Nabaggala,Ugandan,Soroti,retail,medium,Tier1,dormant,2023-03-16
CUST000274,Henry Davis,Tanzanian,Wakiso,retail,high,Tier2,restricted,2024-03-04
CUST000275,Precious Nabirye,Ugandan,Lira,retail,high,Tier1,active,2023-08-08
CUST000276,Timothy Yiga,Ugandan,Mubende,retail,medium,Tier2,active,2022-12-21
CUST000277,Edith Byaruhanga,Ugandan,Kampala,retail,medium,Tier1,active,2024-09-28
CUST000278,Asiimwe Lumala,Ugandan,Pallisa,retail,high,Tier3,dormant,2025-08-09
CUST000279,Daniel Tumusiime,Ugandan,Kamuli,retail,medium,Tier1,active,2025-10-12
CUST000280,Solomon Namutebi,Ugandan,Tororo,retail,low,Tier2,active,2023-07-18
CUST000281,Francis Nabukenya,Ugandan,Mukono,retail,low,Tier1,active,2023-12-30
CUST000282,Akiiki Kaddu,Ugandan,Lwengo,retail,low,Tier1,dormant,2024-11-06
CUST000283,Joseph Kalyegira,Ugandan,Wakiso,retail,low,Tier2,dormant,2024-09-26
CUST000284,Asiimwe Namirembe,Ugandan,Kyegegwa,retail,low,Tier1,active,2023-09-06
CUST000285,Joy Nakiyingi,Ugandan,Nebbi,retail,low,Tier3,active,2023-06-18
CUST000286,Norah Achola,Ugandan,Tororo,retail,medium,Tier2,active,2024-04-04
CUST000287,Emmanuel Ssekiziyivu,Ugandan,Rakai,retail,medium,Tier1,active,2023-01-10
CUST000288,Lawrence Akena,Ugandan,Wakiso,retail,low,Tier1,active,2023-01-16
CUST000289,Apollo Mulyagonja,Ugandan,Bukomansimbi,retail,low,Tier1,active,2025-11-07
CUST000290,Daniel Olara,Ugandan,Wakiso,retail,low,Tier1,restricted,2024-01-08
CUST000291,Lilian Mukwaya,Ugandan,Mbarara,retail,medium,Tier3,dormant,2023-11-07
CUST000292,Isabella Taylor,Rwandan,Kotido,retail,low,Tier2,active,2024-09-14
