card_id,account_id,customer_id,card_type,network,masked_pan,issued_at,expiry_month,expiry_year,card_status
CARD000057,ACC000077,CUST000077,debit,Mastercard,4000-00XX-XX4196,2023-09-29,04,2031,blocked
CARD000058,ACC000078,CUST000078,debit,Verve,4000-00XX-XX2280,2023-04-07,07,2028,active
CARD000059,ACC000080,CUST000080,virtual,Mastercard,4000-00XX-XX1114,2023-06-10,10,2031,active
CARD000060,ACC000083,CUST000083,virtual,Mastercard,4000-00XX-XX1354,2024-12-09,06,2028,active
CARD000061,ACC000084,CUST000084,debit,Verve,4000-00XX-XX6050,2023-09-20,12,2028,active
CARD000062,ACC000085,CUST000085,debit,Mastercard,4000-00XX-XX7732,2025-07-01,10,2029,active
CARD000063,ACC000086,CUST000086,virtual,Verve,4000-00XX-XX1584,2025-05-20,01,2029,active
CARD000064,ACC000087,CUST000087,virtual,Mastercard,4000-00XX-XX2740,2026-02-08,06,2031,active
CARD000065,ACC000088,CUST000088,virtual,Verve,4000-00XX-XX1696,2023-04-02,03,2028,blocked
CARD000066,ACC000089,CUST000089,debit,Visa,4000-00XX-XX3886,2024-09-15,06,2030,active
CARD000067,ACC000090,CUST000090,debit,Visa,4000-00XX-XX3644,2025-12-06,01,2030,blocked
CARD000068,ACC000092,CUST000092,debit,Verve,4000-00XX-XX9459,2024-02-03,08,2028,active
CARD000069,ACC000093,CUST000093,virtual,Verve,4000-00XX-XX4224,2023-12-03,06,2030,blocked
CARD000070,ACC000094,CUST000094,debit,Visa,4000-00XX-XX0961,2025-08-29,07,2031,active
CARD000071,ACC000095,CUST000095,virtual,Mastercard,4000-00XX-XX7704,2026-01-27,09,2031,blocked
CARD000072,ACC000098,CUST000098,virtual,Mastercard,4000-00XX-XX6905,2026-03-14,02,2030,active
CARD000073,ACC000099,CUST000099,virtual,Mastercard,4000-00XX-XX9741,2023-08-07,10,2029,active
CARD000074,ACC000100,CUST000100,debit,Visa,4000-00XX-XX6380,2026-01-06,12,2031,active
CARD000075,ACC000101,CUST000101,debit,Verve,4000-00XX-XX9696,2025-12-23,02,2029,active
CARD000076,ACC000102,CUST000102,debit,Mastercard,4000-00XX-XX4034,2024-11-16,09,2029,blocked
CARD000077,ACC000104,CUST000104,virtual,Mastercard,4000-00XX-XX6477,2024-12-02,09,2028,active
CARD000078,ACC000106,CUST000106,virtual,Visa,4000-00XX-XX3928,2025-05-10,10,2030,active
CARD000079,ACC000107,CUST000107,virtual,Verve,4000-00XX-XX8762,2023-09-01,12,2030,blocked
CARD000080,ACC000108,CUST000108,virtual,Visa,4000-00XX-XX5587,2023-12-21,10,2028,blocked
CARD000081,ACC000109,CUST000109,virtual,Visa,4000-00XX-XX0703,2024-12-10,09,2029,active
CARD000082,ACC000110,CUST000110,virtual,Visa,4000-00XX-XX2795,2024-07-25,10,2029,active
CARD000083,ACC000112,CUST000112,debit,Verve,4000-00XX-XX6257,2023-06-27,11,2028,active
CARD000084,ACC000114,CUST000114,debit,Mastercard,4000-00XX-XX5107,2023-07-07,06,2031,active
CARD000085,ACC000115,CUST000115,virtual,Verve,4000-00XX-XX5735,2024-02-13,06,2028,active
CARD000086,ACC000116,CUST000116,virtual,Verve,4000-00XX-XX0742,2023-10-08,11,2031,blocked
CARD000087,ACC000120,CUST000120,virtual,Mastercard,4000-00XX-XX3135,2025-04-03,12,2030,active
CARD000088,ACC000122,CUST000122,debit,Verve,4000-00XX-XX8769,2024-04-11,06,2028,blocked
CARD000089,ACC000123,CUST000123,virtual,Visa,4000-00XX-XX1249,2026-01-07,12,2030,blocked
CARD000090,ACC000124,CUST000124,debit,Mastercard,4000-00XX-XX9867,2024-11-27,01,2029,blocked
CARD000091,ACC000125,CUST000125,debit,Verve,4000-00XX-XX4311,2023-01-05,04,2030,blocked
CARD000092,ACC000127,CUST000127,debit,Visa,4000-00XX-XX5133,2023-11-14,10,2031,blocked
CARD000093,ACC000129,CUST000129,virtual,Verve,4000-00XX-XX7011,2024-07-16,07,2028,blocked
CARD000094,ACC000130,CUST000130,virtual,Visa,4000-00XX-XX5641,2025-10-23,09,2029,active
CARD000095,ACC000131,CUST000131,debit,Verve,4000-00XX-XX6459,2025-04-24,05,2028,blocked
CARD000096,ACC000132,CUST000132,debit,Verve,4000-00XX-XX8632,2022-12-23,01,2031,active
CARD000097,ACC000133,CUST000133,debit,Verve,4000-00XX-XX8907,2025-06-18,11,2031,active
CARD000098,ACC000134,CUST000134,debit,Visa,4000-00XX-XX0952,2024-01-21,04,2029,blocked
CARD000099,ACC000135,CUST000135,debit,Verve,4000-00XX-XX6431,2023-08-20,01,2029,active
CARD000100,ACC000138,CUST000138,virtual,Visa,4000-00XX-XX8267,2024-12-16,12,2029,active
CARD000101,ACC000140,CUST000140,debit,Verve,4000-00XX-XX8093,2024-09-01,01,2029,blocked
CARD000102,ACC000141,CUST000141,virtual,Mastercard,4000-00XX-XX0222,2026-01-16,03,2029,active
CARD000103,ACC000142,CUST000142,debit,Mastercard,4000-00XX-XX3569,2026-01-29,11,2029,active
CARD000104,ACC000143,CUST000143,debit,Mastercard,4000-00XX-XX8866,2024-08-19,05,2028,blocked
CARD000105,ACC000147,CUST000147,virtual,Visa,4000-00XX-XX2956,2023-04-18,02,2031,active
CARD000106,ACC000148,CUST000148,virtual,Mastercard,4000-00XX-XX5371,2025-08-22,07,2030,active
CARD000107,ACC000149,CUST000149,debit,Mastercard,4000-00XX-XX1510,2023-10-20,12,2028,active
CARD000108,ACC000150,CUST000150,debit,Verve,4000-00XX-XX5373,2024-01-11,04,2031,blocked
CARD000109,ACC000151,CUST000151,debit,Mastercard,4000-00XX-XX9984,2023-02-19,10,2028,blocked
CARD000110,ACC000152,CUST000152,virtual,Mastercard,4000-00XX-XX8063,2024-01-15,06,2029,active
CARD000111,ACC000154,CUST000154,virtual,Mastercard,4000-00XX-XX7054,2025-10-16,02,2028,active
CARD000112,ACC000155,CUST000155,debit,Mastercard,4000-00XX-XX5771,2024-04-24,07,2030,blocked
CARD000113,ACC000156,CUST000156,virtual,Verve,4000-00XX-XX2558,2024-08-12,03,2031,blocked
CARD000114,ACC000157,CUST000157,virtual,Verve,4000-00XX-XX9977,2025-03-07,10,2030,blocked
CARD000115,ACC000158,CUST000158,virtual,Visa,4000-00XX-XX4255,2024-09-03,04,2031,blocked
CARD000116,ACC000159,CUST000159,virtual,Verve,4000-00XX-XX6678,2025-07-18,01,2030,active
CARD000117,ACC000160,CUST000160,virtual,Visa,4000-00XX-XX5937,2026-02-09,06,2029,blocked
CARD000118,ACC000162,CUST000162,debit,Visa,4000-00XX-XX2014,2024-09-17,01,2028,blocked
CARD000119,ACC000163,CUST000163,virtual,Mastercard,4000-00XX-XX0889,2023-09-19,05,2028,active
CARD000120,ACC000169,CUST000169,debit,Visa,4000-00XX-XX0625,2025-10-27,08,2030,active
CARD000121,ACC000170,CUST000170,virtual,Mastercard,4000-00XX-XX2755,2024-03-30,08,2028,blocked
CARD000122,ACC000171,CUST000171,debit,Visa,4000-00XX-XX1551,2023-03-12,04,2030,active
CARD000123,ACC000172,CUST000172,virtual,Mastercard,4000-00XX-XX5916,2025-05-05,09,2029,blocked
CARD000124,ACC000173,CUST000173,virtual,Verve,4000-00XX-XX7574,2025-06-04,02,2029,blocked
CARD000125,ACC000175,CUST000175,virtual,Mastercard,4000-00XX-XX2955,2025-07-08,07,2031,blocked
CARD000126,ACC000177,CUST000177,virtual,Mastercard,4000-00XX-XX3049,2023-07-18,05,2030,active
CARD000127,ACC000178,CUST000178,debit,Mastercard,4000-00XX-XX7266,2024-08-29,07,2029,blocked
CARD000128,ACC000179,CUST000179,virtual,Mastercard,4000-00XX-XX5145,2024-07-20,10,2031,active
CARD000129,ACC000180,CUST000180,virtual,Verve,4000-00XX-XX6202,2023-03-19,02,2029,blocked
CARD000130,ACC000181,CUST000181,debit,Verve,4000-00XX-XX0553,2023-07-30,12,2031,active
CARD000131,ACC000182,CUST000182,virtual,Verve,4000-00XX-XX1862,2024-08-12,07,2030,active
CARD000132,ACC000184,CUST000184,debit,Verve,4000-00XX-XX9371,2023-10-20,01,2029,blocked
CARD000133,ACC000186,CUST000186,debit,Mastercard,4000-00XX-XX3189,2025-04-20,07,2031,active
CARD000134,ACC000187,CUST000187,debit,Visa,4000-00XX-XX5751,2023-05-02,11,2031,blocked
CARD000135,ACC000188,CUST000188,debit,Visa,4000-00XX-XX8061,2023-02-13,10,2028,active
CARD000136,ACC000189,CUST000189,debit,Mastercard,4000-00XX-XX2217,2026-01-20,10,2029,blocked
CARD000137,ACC000190,CUST000190,debit,Verve,4000-00XX-XX3298,2025-06-18,10,2028,blocked
CARD000138,ACC000191,CUST000191,virtual,Mastercard,4000-00XX-XX6679,2022-12-24,05,2031,blocked
CARD000139,ACC000194,CUST000194,virtual,Mastercard,4000-00XX-XX7479,2025-10-29,09,2030,blocked
CARD000140,ACC000196,CUST000196,debit,Visa,4000-00XX-XX6242,2026-01-21,05,2029,active
CARD000141,ACC000198,CUST000198,debit,Visa,4000-00XX-XX3980,2025-10-01,10,2029,active
CARD000142,ACC000200,CUST000200,virtual,Visa,4000-00XX-XX4424,2023-04-08,05,2029,active
CARD000143,ACC000202,CUST000202,debit,Mastercard,4000-00XX-XX5019,2024-10-24,07,2028,blocked
CARD000144,ACC000203,CUST000203,virtual,Verve,4000-00XX-XX4950,2025-11-10,08,2031,blocked
CARD000145,ACC000204,CUST000204,debit,Verve,4000-00XX-XX6970,2024-10-03,10,2029,blocked
CARD000146,ACC000205,CUST000205,virtual,Verve,4000-00XX-XX4642,2024-12-19,05,2031,active
CARD000147,ACC000206,CUST000206,virtual,Visa,4000-00XX-XX0002,2024-08-23,09,2030,active
CARD000148,ACC000207,CUST000207,debit,Visa,4000-00XX-XX2411,2023-01-22,08,2029,active
CARD000149,ACC000208,CUST000208,virtual,Verve,4000-00XX-XX6714,2025-08-04,09,2031,active
CARD000150,ACC000211,CUST000211,virtual,Visa,4000-00XX-XX5241,2023-02-21,01,2029,active
CARD000151,ACC000213,CUST000213,debit,Visa,4000-00XX-XX7009,2025-01-10,04,2030,blocked
CARD000152,ACC000215,CUST000215,debit,Visa,4000-00XX-XX5594,2023-10-23,06,2031,active
CARD000153,ACC000218,CUST000218,debit,Verve,4000-00XX-XX3200,2023-12-01,01,2028,blocked
CARD000154,ACC000220,CUST000220,debit,Verve,4000-00XX-XX8765,2026-02-27,05,2030,blocked
CARD000155,ACC000221,CUST000221,debit,Verve,4000-00XX-XX7062,2024-06-27,10,2031,blocked
CARD000156,ACC000222,CUST000222,virtual,Verve,4000-00XX-XX2844,2024-09-05,04,2031,active
CARD000157,ACC000223,CUST000223,virtual,Visa,4000-00XX-XX0655,2023-03-30,02,2029,blocked
CARD000158,ACC000224,CUST000224,debit,Visa,4000-00XX-XX2244,2023-05-04,12,2029,blocked
CARD000159,ACC000226,CUST000226,virtual,Mastercard,4000-00XX-XX2836,2026-01-07,01,2030,active
CARD000160,ACC000227,CUST000227,debit,Mastercard,4000-00XX-XX8940,2023-08-17,06,2031,blocked
CARD000161,ACC000229,CUST000229,debit,Mastercard,4000-00XX-XX7616,2025-11-12,04,2028,active
CARD000162,ACC000231,CUST000231,virtual,Visa,4000-00XX-XX8722,2025-08-26,08,2031,blocked
CARD000163,ACC000232,CUST000232,virtual,Mastercard,4000-00XX-XX3940,2024-05-22,03,2029,active
CARD000164,ACC000234,CUST000234,debit,Mastercard,4000-00XX-XX4290,2025-10-20,05,2030,blocked
CARD000165,ACC000235,CUST000235,debit,Mastercard,4000-00XX-XX7510,2026-03-09,10,2028,active
CARD000166,ACC000237,CUST000237,debit,Verve,4000-00XX-XX4245,2024-02-02,12,2031,blocked
CARD000167,ACC000238,CUST000238,debit,Mastercard,4000-00XX-XX8844,2026-02-22,08,2030,active
CARD000168,ACC000239,CUST000239,virtual,Visa,4000-00XX-XX1672,2025-06-02,05,2029,blocked
CARD000169,ACC000240,CUST000240,debit,Visa,4000-00XX-XX9738,2025-01-27,11,2030,blocked
CARD000170,ACC000241,CUST000241,virtual,Verve,4000-00XX-XX4771,2024-12-18,03,2031,active
CARD000171,ACC000243,CUST000243,debit,Verve,4000-00XX-XX6192,2023-04-12,06,2028,active
CARD000172,ACC000244,CUST000244,virtual,Mastercard,4000-00XX-XX4063,2025-05-16,01,2028,active
CARD000173,ACC000245,CUST000245,virtual,Mastercard,4000-00XX-XX7096,2024-12-27,07,2028,active
CARD000174,ACC000246,CUST000246,virtual,Verve,4000-00XX-XX9838,2023-09-24,05,2031,active
CARD000175,ACC000248,CUST000248,debit,Verve,4000-00XX-XX0069,2025-12-07,09,2028,active
CARD000176,ACC000249,CUST000249,debit,Mastercard,4000-00XX-XX3090,2023-11-07,11,2031,active
CARD000177,ACC000250,CUST000250,virtual,Visa,4000-00XX-XX0121,2023-01-02,09,2031,blocked
CARD000178,ACC000251,CUST000251,virtual,Visa,4000-00XX-XX1488,2024-04-17,12,2031,active
CARD000179,ACC000252,CUST000252,virtual,Verve,4000-00XX-XX7768,2023-02-01,07,2029,active
CARD000180,ACC000253,CUST000253,virtual,Visa,4000-00XX-XX2897,2024-12-19,05,2031,blocked
CARD000181,ACC000254,CUST000254,virtual,Visa,4000-00XX-XX0697,2024-11-11,06,2028,active
CARD000182,ACC000255,CUST000255,virtual,Visa,4000-00XX-XX6127,2024-02-12,08,2031,blocked
CARD000183,ACC000256,CUST000256,virtual,Mastercard,4000-00XX-XX3606,2024-01-13,09,2031,active
CARD000184,ACC000257,CUST000257,debit,Visa,4000-00XX-XX3811,2024-01-25,04,2030,blocked
CARD000185,ACC000258,CUST000258,debit,Visa,4000-00XX-XX5731,2025-01-29,07,2031,active
CARD000186,ACC000261,CUST000261,virtual,Mastercard,4000-00XX-XX9388,2024-12-07,03,2031,active
CARD000187,ACC000262,CUST000262,debit,Verve,4000-00XX-XX4260,2024-12-08,08,2031,blocked
CARD000188,ACC000263,CUST000263,debit,Visa,4000-00XX-XX4273,2025-02-18,03,2031,blocked
CARD000189,ACC000266,CUST000266,debit,Verve,4000-00XX-XX5295,2025-07-02,03,2029,active
CARD000190,ACC000267,CUST000267,virtual,Verve,4000-00XX-XX6090,2023-04-22,09,2031,blocked
CARD000191,ACC000270,CUST000270,virtual,Verve,4000-00XX-XX5631,2025-01-27,06,2031,active
CARD000192,ACC000273,CUST000273,debit,Verve,4000-00XX-XX8952,2023-03-16,04,2030,blocked
CARD000193,ACC000274,CUST000274,virtual,Mastercard,4000-00XX-XX7427,2024-03-04,09,2029,blocked
CARD000194,ACC000277,CUST000277,virtual,Mastercard,4000-00XX-XX2737,2024-09-28,08,2030,active
CARD000195,ACC000280,CUST000280,virtual,Mastercard,4000-00XX-XX4015,2023-07-18,07,2031,active
CARD000196,ACC000281,CUST000281,virtual,Verve,4000-00XX-XX3926,2023-12-30,01,2030,active
CARD000197,ACC000282,CUST000282,debit,Visa,4000-00XX-XX5775,2024-11-06,12,2031,blocked
CARD000198,ACC000283,CUST000283,virtual,Mastercard,4000-00XX-XX9478,2024-09-26,11,2029,blocked
CARD000199,ACC000284,CUST000284,debit,Visa,4000-00XX-XX3172,2023-09-06,08,2028,active
CARD000200,ACC000285,CUST000285,virtual,Visa,4000-00XX-XX0215,2023-06-18,05,2028,active
CARD000201,ACC000286,CUST000286,debit,Mastercard,4000-00XX-XX1230,2024-04-04,01,2028,active
CARD000202,ACC000287,CUST000287,debit,Visa,4000-00XX-XX1981,2023-01-10,02,2029,active
CARD000203,ACC000290,CUST000290,debit,Verve,4000-00XX-XX7135,2024-01-08,04,2028,blocked
CARD000204,ACC000291,CUST000291,debit,Verve,4000-00XX-XX0173,2023-11-07,01,2031,blocked
CARD000205,ACC000292,CUST000292,debit,Mastercard,4000-00XX-XX7173,2024-09-14,05,2031,active
CARD000206,ACC000297,CUST000297,debit,Visa,4000-00XX-XX8711,2024-05-27,09,2028,active
CARD000207,ACC000298,CUST000298,debit,Verve,4000-00XX-XX1381,2025-04-27,02,2030,active
CARD000208,ACC000300,CUST000300,virtual,Verve,4000-00XX-XX2740,2023-11-03,06,2028,active
CARD000209,ACC000301,CUST000301,virtual,Verve,4000-00XX-XX9521,2024-12-06,07,2031,active
CARD000210,ACC000302,CUST000302,debit,Visa,4000-00XX-XX7844,2025-06-04,07,2031,active
CARD000211,ACC000303,CUST000303,debit,Visa,4000-00XX-XX1974,2025-03-10,02,2030,active
CARD000212,ACC000305,CUST000305,debit,Visa,4000-00XX-XX0633,2025-08-06,05,2031,active
CARD000213,ACC000306,CUST000306,virtual,Verve,4000-00XX-XX6221,2025-05-08,03,2030,active
CARD000214,ACC000307,CUST000307,debit,Verve,4000-00XX-XX0152,2025-10-28,09,2030,active
CARD000215,ACC000309,CUST000309,virtual,Mastercard,4000-00XX-XX8512,2024-05-02,10,2029,blocked
CARD000216,ACC000310,CUST000310,debit,Visa,4000-00XX-XX6353,2024-05-05,07,2031,blocked
CARD000217,ACC000312,CUST000312,debit,Visa,4000-00XX-XX0502,2025-09-25,06,2030,active
CARD000218,ACC000313,CUST000313,debit,Verve,4000-00XX-XX9399,2023-10-14,12,2028,blocked
CARD000219,ACC000314,CUST000314,debit,Mastercard,4000-00XX-XX0944,2023-03-19,11,2031,blocked
CARD000220,ACC000316,CUST000316,debit,Verve,4000-00XX-XX1949,2025-01-09,01,2031,active
CARD000221,ACC000320,CUST000320,virtual,Mastercard,4000-00XX-XX3046,2025-01-26,08,2030,active
CARD000222,ACC000321,CUST000321,debit,Verve,4000-00XX-XX9136,2024-06-06,07,2028,active
CARD000223,ACC000322,CUST000322,debit,Visa,4000-00XX-XX5650,2023-09-08,06,2029,active
CARD000224,ACC000323,CUST000323,virtual,Verve,4000-00XX-XX1838,2024-07-12,06,2028,blocked
CARD000225,ACC000324,CUST000324,debit,Verve,4000-00XX-XX7678,2024-09-19,02,2031,active
CARD000226,ACC000325,CUST000325,debit,Visa,4000-00XX-XX5595,2024-09-22,02,2028,blocked
CARD000227,ACC000326,CUST000326,debit,Visa,4000-00XX-XX1474,2026-02-07,07,2030,active
CARD000228,ACC000327,CUST000327,virtual,Mastercard,4000-00XX-XX7759,2025-02-23,12,2028,blocked
CARD000229,ACC000328,CUST000328,virtual,Verve,4000-00XX-XX9987,2025-01-18,07,2029,active
CARD000230,ACC000329,CUST000329,debit,Visa,4000-00XX-XX4304,2024-10-18,07,2029,active
CARD000231,ACC000330,CUST000330,debit,Verve,4000-00XX-XX5369,2024-10-01,05,2029,blocked
CARD000232,ACC000331,CUST000331,virtual,Mastercard,4000-00XX-XX6049,2025-09-05,12,2030,active
CARD000233,ACC000333,CUST000333,debit,Verve,4000-00XX-XX9537,2025-08-28,04,2028,active
CARD000234,ACC000334,CUST000334,virtual,Verve,4000-00XX-XX7150,2024-12-19,07,2031,active
CARD000235,ACC000337,CUST000337,debit,Mastercard,4000-00XX-XX3947,2025-01-25,08,2030,active
CARD000236,ACC000340,CUST000340,debit,Visa,4000-00XX-XX3857,2025-02-07,02,2031,blocked
CARD000237,ACC000342,CUST000342,virtual,Verve,4000-00XX-XX4385,2024-11-04,07,2031,blocked
CARD000238,ACC000343,CUST000343,debit,Mastercard,4000-00XX-XX4560,2024-02-23,10,2029,blocked
CARD000239,ACC000344,CUST000344,debit,Visa,4000-00XX-XX8573,2023-10-15,11,2030,blocked
CARD000240,ACC000345,CUST000345,debit,Mastercard,4000-00XX-XX9666,2023-08-18,09,2030,blocked
CARD000241,ACC000346,CUST000346,debit,Verve,4000-00XX-XX3595,2025-08-14,09,2029,active
CARD000242,ACC000348,CUST000348,debit,Mastercard,4000-00XX-XX4381,2023-05-13,10,2028,blocked
CARD000243,ACC000349,CUST000349,virtual,Mastercard,4000-00XX-XX1523,2025-11-30,07,2030,active
CARD000244,ACC000350,CUST000350,debit,Visa,4000-00XX-XX9083,2025-10-05,05,2031,active
CARD000245,ACC000351,CUST000351,debit,Verve,4000-00XX-XX8563,2026-03-27,05,2029,active
CARD000246,ACC000353,CUST000353,debit,Verve,4000-00XX-XX4135,2025-04-08,02,2028,active
CARD000247,ACC000354,CUST000354,virtual,Visa,4000-00XX-XX2476,2025-06-30,09,2028,active
CARD000248,ACC000356,CUST000356,virtual,Mastercard,4000-00XX-XX9224,2026-02-27,03,2031,blocked
CARD000249,ACC000358,CUST000358,debit,Verve,4000-00XX-XX6347,2024-09-18,05,2031,active
CARD000250,ACC000360,CUST000360,virtual,Visa,4000-00XX-XX3029,2025-05-14,12,2030,blocked
CARD000251,ACC000361,CUST000361,debit,Mastercard,4000-00XX-XX4128,2025-04-15,01,2031,blocked
CARD000252,ACC000363,CUST000363,debit,Mastercard,4000-00XX-XX2278,2025-01-14,12,2031,blocked
CARD000253,ACC000365,CUST000365,debit,Visa,4000-00XX-XX2649,2023-01-05,02,2031,blocked
CARD000254,ACC000367,CUST000367,virtual,Visa,4000-00XX-XX3186,2023-01-22,12,2029,active
CARD000255,ACC000369,CUST000369,virtual,Visa,4000-00XX-XX1222,2024-05-03,08,2031,active
CARD000256,ACC000370,CUST000370,debit,Visa,4000-00XX-XX3855,2024-09-29,03,2030,blocked
CARD000257,ACC000371,CUST000371,virtual,Verve,4000-00XX-XX3373,2024-04-17,01,2028,active
CARD000258,ACC000372,CUST000372,debit,Verve,4000-00XX-XX7450,2025-08-14,09,2029,active
CARD000259,ACC000373,CUST000373,virtual,Mastercard,4000-00XX-XX2754,2024-05-25,07,2031,blocked
CARD000260,ACC000375,CUST000375,debit,Visa,4000-00XX-XX0702,2024-06-24,05,2029,active
CARD000261,ACC000376,CUST000376,debit,Visa,4000-00XX-XX4029,2025-04-27,09,2030,blocked
CARD000262,ACC000377,CUST000377,debit,Mastercard,4000-00XX-XX2786,2024-12-20,07,2028,active
